annee;numero_de_l_etablissement;etablissement;code_de_l_academie;academie;code_du_domaine;domaine;code_de_la_discipline;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_dinsertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile;cle_etab;cle_disc
2012;0761904G;Rouen;A21;Rouen;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;8;67;2;ns;ns;ns;ns;ns;ns;37;11.1;1800;ns;ns;;1460;2120;Rouen_18;disc17_18
2012;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;147;76;55;92;80;64;98;1720;26800;31;8.9;1780;45;35;53;1430;2130;Saint-Etienne - Jean Monnet_18;disc01_18
2012;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;65;82;24;93;79;63;96;1730;27000;31;8.9;1780;42;32;60;1430;2130;Saint-Etienne - Jean Monnet_18;disc05_18
2012;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;13;80;5;ns;ns;ns;ns;ns;ns;31;8.9;1780;ns;ns;;1430;2130;Saint-Etienne - Jean Monnet_18;disc13_18
2012;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;11;100;4;ns;ns;ns;ns;ns;ns;31;8.9;1780;ns;ns;;1430;2130;Saint-Etienne - Jean Monnet_18;disc16_18
2012;0673021V;Strasbourg;A15;Strasbourg;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;38;81;4;92;97;82;100;ns;ns;23;9.3;1760;93;45;7;1430;2080;Strasbourg_18;disc16_18
2012;0830766G;Toulon - Sud Toulon Var;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;37;73;21;81;73;47;100;ns;ns;40;11.7;1790;26;22;75;1390;2170;Toulon - Sud Toulon Var_18;disc04_18
2012;0830766G;Toulon - Sud Toulon Var;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;5;64;3;ns;ns;ns;ns;ns;ns;40;11.7;1790;ns;ns;;1390;2170;Toulon - Sud Toulon Var_18;disc13_18
2012;0311383K;Toulouse - Jean Jaures;A16;Toulouse;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;7;80;2;ns;ns;ns;ns;ns;ns;37;10.5;1760;ns;ns;;1420;2090;Toulouse - Jean Jaures_18;disc03_18
2012;0311383K;Toulouse - Jean Jaures;A16;Toulouse;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;89;69;28;86;56;58;83;1380;21500;37;10.5;1760;39;52;79;1420;2090;Toulouse - Jean Jaures_18;disc06_18
2012;0311383K;Toulouse - Jean Jaures;A16;Toulouse;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;13;69;4;ns;ns;ns;ns;ns;ns;37;10.5;1760;ns;ns;;1420;2090;Toulouse - Jean Jaures_18;disc12_18
2012;0311384L;Toulouse 3 - Paul Sabatier;A16;Toulouse;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;46;71;9;96;88;79;95;1940;30300;40;10.5;1760;74;27;54;1420;2090;Toulouse 3 - Paul Sabatier_18;disc01_18
2012;0370800U;Tours - François Rabelais;A18;Orléans-Tours;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;35;85;9;79;ns;ns;ns;ns;ns;27;9.8;1780;ns;ns;51;1460;2110;Tours - François Rabelais_18;disc05_18
2012;0370800U;Tours - François Rabelais;A18;Orléans-Tours;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;39;66;11;80;74;53;79;ns;ns;27;9.8;1780;41;63;87;1460;2110;Tours - François Rabelais_18;disc06_18
2012;0370800U;Tours - François Rabelais;A18;Orléans-Tours;SHS;Sciences humaines et sociales;disc09;Psychologie;18 mois après le diplôme;;41;78;10;79;90;42;65;ns;ns;27;9.8;1780;80;62;85;1460;2110;Tours - François Rabelais_18;disc09_18
2012;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;28;74;8;ns;ns;ns;ns;ns;ns;27;13;1780;ns;ns;;1450;2080;Valenciennes - Hainaut-Cambrésis_18;disc10_18
2012;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;1;67;0;ns;ns;ns;ns;nd;nd;11;9;2020;ns;ns;;1580;2530;Versailles Saint-Quentin-en-Yvelines_18;disc06_18
2012;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;16;63;3;ns;ns;ns;ns;ns;ns;11;9;2020;ns;ns;;1580;2530;Versailles Saint-Quentin-en-Yvelines_18;disc10_18
2012;0840685N;Avignon;A02;Aix-Marseille;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;4;56;100;ns;ns;ns;ns;ns;ns;25;11.7;1790;ns;ns;;1390;2170;Avignon_18;disc18_18
2012;0730858L;Chambéry - Savoie;A08;Grenoble;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;59;88;100;98;89;79;93;1650;25700;42;8.9;1780;80;8;88;1430;2130;Chambéry - Savoie_18;disc18_18
2012;0631525R;Clermont-Ferrand 2 - Blaise Pascal;A06;Clermont-Ferrand;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;108;72;100;100;89;82;88;1680;26200;48;8.9;1740;88;44;72;1400;2020;Clermont-Ferrand 2 - Blaise Pascal_18;disc18_18
2012;7200664J;Corse - Pasquale Paoli;A27;Corse;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;23;79;100;ns;ns;ns;ns;ns;ns;21;11;1740;ns;ns;;1340;2070;Corse - Pasquale Paoli_18;disc18_18
2012;9740478B;La Réunion;A28;La Réunion;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;83;74;100;93;86;81;75;2530;39500;54;nd;nd;81;10;86;nd;nd;La Réunion_18;disc18_18
2012;0762762P;Le Havre;A21;Rouen;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;17;53;100;ns;ns;ns;ns;ns;ns;24;11.1;1800;ns;ns;;1460;2120;Le Havre_18;disc18_18
2012;0870669E;Limoges;A22;Limoges;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;45;67;100;98;77;80;91;1660;25900;29;9.3;1720;72;30;80;1390;1980;Limoges_18;disc18_18
2012;0542493S;Lorraine;A12;Nancy-Metz;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;210;75;100;97;85;76;85;1670;26100;31;10.7;1760;73;39;86;1400;2050;Lorraine_18;disc18_18
2012;0751717J;Paris 1 - Panthéon Sorbonne;A01;Paris;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;15;81;100;ns;ns;ns;ns;ns;ns;34;9;2020;ns;ns;;1580;2530;Paris 1 - Panthéon Sorbonne_18;disc18_18
2012;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;83;83;100;100;89;78;92;1650;25700;36;8.9;1780;78;38;72;1430;2130;Saint-Etienne - Jean Monnet_18;disc18_18
2012;0593279U;Valenciennes - Hainaut-Cambrésis;A09;Lille;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;31;88;100;94;ns;ns;ns;ns;ns;61;13;1780;ns;19;64;1450;2080;Valenciennes - Hainaut-Cambrésis_18;disc18_18
2012;0101060Y;Université de technologie de Troyes;A19;Reims;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;16;69;34;ns;nd;ns;ns;ns;ns;24;11;1780;nd;ns;;1460;2100;Université de technologie de Troyes_18;disc12_18
2012;0101060Y;Université de technologie de Troyes;A19;Reims;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;3;80;6;ns;nd;ns;ns;ns;ns;24;11;1780;nd;ns;;1460;2100;Université de technologie de Troyes_18;disc15_18
